source,target,occupation,level
aisha.opra,ruksana.ruksanaqueen,others,0
aisha.opra,samuel.sabou,others,0
aisha.opra,alliashurlaire.kingamavioga.9,others,0
aisha.opra,kassaidi.sibomana.1,others,0
aisha.opra,Tamim Khan|100026963535468,others,0
aisha.opra,waziri.sharu.1,others,0
aisha.opra,Abdul Kabir|100026961855044,others,0
aisha.opra,Chit Chit|100026937012273,others,0
aisha.opra,irakoze.chanelle.16,others,0
aisha.opra,niyonteze.jeanpierre.1,others,0
aisha.opra,ali.silima.96,others,0
aisha.opra,guillaine.nkurunziza.5,others,0
aisha.opra,rehema.nassor.3158,others,0
aisha.opra,Muslim Aleiraqi|100026856494443,others,0
aisha.opra,moussa.swaibu.1,others,0
aisha.opra,sadiki.burundiano,others,0
aisha.opra,rossine.flaurance.78114,others,0
aisha.opra,Haydar Khalaf Babir|100026780624780,others,0
aisha.opra,jannette.irambona,others,0
aisha.opra,fdsrh.jgis,others,0
aisha.opra,adesokan.sukurat.7,others,0
aisha.opra,belyse.nitanga.96,others,0
aisha.opra,stephanie.ngendakumana.54,others,0
aisha.opra,john.habimana.1466,others,0
aisha.opra,masau.suleiman.7,others,0
aisha.opra,mushrif.ahmed.581,others,0
aisha.opra,olivier.ouayolo,others,0
aisha.opra,nshimirimana.dieudonne.562,others,0
aisha.opra,basit.sulaimon.9406,others,0
aisha.opra,eddy.dollar.10,others,0
aisha.opra,zubeda.irakoze.7,others,0
aisha.opra,jeanmarie.oui,others,0
aisha.opra,jastin.mhonjwa.5,others,0
aisha.opra,mayaramiya.ramazani,others,0
aisha.opra,ssengooba.fred.90,others,0
